gene	p-value	label
TRMT10C	8.547880166412718e-07	0
MAP4K1	8.841096820621035e-07	0
PPARA	8.934661874162456e-07	0
PDSS1	1.0176193666222274e-06	0
PLCG1	1.0348682514159236e-06	0
TNFRSF1B	1.0918062029470084e-06	0
COQ7	1.240187894405989e-06	0
RAP1B	1.358834256926151e-06	0
DHRS4	1.3945738141840148e-06	0
GNAQ	1.4591349887700489e-06	0
NDUFV1	1.6520482159935763e-06	0
TFB2M	1.742378709478678e-06	0
PRKCZ	1.8202868554418128e-06	0
MDH2	1.8905024796349348e-06	0
BTRC	2.1511994558715017e-06	0
POLRMT	2.1573536194792465e-06	0
PIK3CA	2.2059667117462773e-06	1
NR1H3	2.261337555938469e-06	0
PLA2G4A	2.2664585857490184e-06	0
MRPL48	2.277446180355007e-06	0
TKT	2.35621479058559e-06	0
MAX	2.5016133359899656e-06	0
MRPS35	2.7788352248408694e-06	0
NDUFB3	2.93168986606602e-06	0
MAP2K4	3.0131426730963438e-06	1
CYCS	3.2338135999082744e-06	0
AKT1	3.3116695697540622e-06	1
YBEY	3.316095528889985e-06	0
NCF2	3.3883096009689345e-06	0
MDH1	3.534819714546801e-06	0
MYC	3.96750523932646e-06	1
CHEK2	4.154049992551331e-06	1
RB1	4.4359916662014765e-06	1
NDUFB4	4.647461120925007e-06	0
NCOA1	4.749133990730739e-06	0
NDUFAF3	4.841609682586097e-06	0
TNFAIP3	4.8862651425195625e-06	1
APC	5.151428773141859e-06	1
UQCRFS1	5.5697114068776205e-06	0
ROCK1	5.799878161012835e-06	0
SLC25A3	5.886910849240876e-06	0
FTL	6.280371820003692e-06	0
VAPA	6.419154611655527e-06	0
MRPL50	6.5460850709512935e-06	0
MRPS33	6.658391590634499e-06	0
RHOA	7.469685672332327e-06	1
YWHAQ	7.721099839113645e-06	-1
PEX19	8.046778549840854e-06	0
ITGB1	8.341040232846806e-06	0
COX15	8.592595081315333e-06	0
MRPS14	9.17763880933326e-06	0
TGFB2	1.0934006653005926e-05	0
CARM1	1.1106425889447008e-05	0
CREB1	1.115234770511995e-05	0
PRKDC	1.1626978574860396e-05	0
ARNT	1.178541164890695e-05	0
LIMK1	1.4007941810313551e-05	0
DAP3	1.694962826737773e-05	0
TGFB3	1.730046290794392e-05	0
PIK3CG	1.7369448064112423e-05	0
CDK7	1.7387956880811716e-05	0
CD40	1.8459490582790538e-05	0
CSNK1A1	1.857974141492197e-05	0
GSK3B	1.9009753464441863e-05	0
MRPS27	1.9322358047453213e-05	0
EGFR	1.9412870033738067e-05	1
CCT7	1.9986049871755327e-05	0
GAB1	2.063362226567305e-05	0
DUSP1	2.094963655795613e-05	0
ERBB4	2.2246681156203e-05	1
ELK1	2.2510431965741025e-05	0
WDR5	2.574593491199549e-05	-1
RAD51	2.6183107842586613e-05	0
SMURF1	2.633473166742826e-05	0
CALM2	2.7082036601348247e-05	0
ETFA	2.90239736581742e-05	0
ATP6V0D1	2.936661256696961e-05	0
SMURF2	3.0288014366625496e-05	0
PPP3CB	3.0406168830390027e-05	0
CCNB2	3.052479830957371e-05	0
MRPL30	3.05725835559964e-05	0
MAP2K6	3.086979492931834e-05	0
SIRT1	3.117625749056796e-05	0
ATM	3.1930534329414e-05	1
MDM2	3.4217562489747e-05	1
NDUFA9	3.51559070111733e-05	0
MRPS25	3.617906917124313e-05	0
RPS20	3.908623686074467e-05	0
CD3G	4.0877076922078016e-05	0
ARF1	4.1967505725306535e-05	0
ALDOC	4.325519761077477e-05	0
SDHB	4.351201400907647e-05	0
CHAF1A	4.390636146973807e-05	0
