gene	p-value	label
LSM3	1.7787678650147083e-05	0
SLC9A3R2	1.8071689967428986e-05	0
HNRNPLL	1.8566456588259536e-05	0
CNOT11	1.9535749353679228e-05	-1
SKP2	1.973959938166427e-05	0
CDC7	2.0555970147342027e-05	-1
AMBP	2.3226573375690976e-05	0
PSMC3IP	2.3553584191968305e-05	0
CNOT3	2.515138222080971e-05	0
CD28	2.556395313649312e-05	0
CNOT8	2.591184654779825e-05	0
ADAP1	2.6597210336482084e-05	-1
CNOT2	3.0126104815386065e-05	0
IRS4	3.245165082062626e-05	0
GABRB1	3.258049812415148e-05	0
CNOT6L	3.297726590595128e-05	0
TNKS1BP1	3.406367044209435e-05	0
CELF3	3.564510249134009e-05	0
ITIH1	3.72166299249448e-05	1
CNOT6	3.843235073838355e-05	0
SMAD9	3.899698025938331e-05	-1
DDX5	4.119975502328604e-05	0
PIK3CG	4.120906292007005e-05	0
PIK3R3	4.493481118168444e-05	0
PI4KA	4.5056473618303725e-05	0
DDX6	4.618427461335041e-05	0
RASGRP3	5.035988222328458e-05	-1
TGFBR2	5.310154551042e-05	1
BTLA	5.697806920733647e-05	0
MRAS	6.0180707835976e-05	0
DCP1A	6.037287619235496e-05	0
SMAD6	6.07404235964424e-05	0
DNAJB6	6.743757829274348e-05	0
RAPSN	7.23904749024907e-05	0
SETDB1	7.502754429698075e-05	0
ZBTB7A	7.593888124272683e-05	0
RBM11	8.094555619773505e-05	0
ITGAV	8.140988950612497e-05	0
GALNT12	8.229866048654465e-05	0
TOB2	8.443579910896731e-05	0
PIK3R2	8.493436040049842e-05	0
IFNG	8.77720101483367e-05	0
RALGDS	8.994205961629854e-05	0
EDC4	9.197421701878284e-05	0
MUSK	9.734168405067204e-05	0
CHAF1A	9.902720625643467e-05	0
APPL1	9.950534935475493e-05	0
CORO7	0.0001020173144682	0
CD247	0.0001034170703698	0
CNOT10	0.0001078507700332	-1
TOB1	0.0001090273543729	0
GRB7	0.0001093779938897	0
CPEB3	0.0001181029864704	0
UBTF	0.0001192948117398	0
CD3G	0.0001250450079385	0
ARFIP2	0.0001268308488516	0
CD3E	0.0001301719111586	0
BTG1	0.0001327134514872	0
CD86	0.0001375367707919	0
EIF2B4	0.0001383214545403	0
UMPS	0.0001467514266802	0
CABIN1	0.0001484498221691	0
CNOT1	0.000149466196626	0
PI4KB	0.0001551845600019	-1
CHN1	0.0001567293775942	0
ELAVL1	0.0001714442637802	0
PAK1	0.000172486845597	0
NOVA1	0.0001765945218464	0
UBR5	0.0001772573954178	0
PIK3CD	0.000180000885064	0
MAP4K1	0.000180198259939	0
CNOT4	0.0001820402591694	0
S1PR1	0.0001908287906981	0
PAN2	0.0002073187291466	0
DIAPH1	0.0002086316327597	1
FOXA1	0.0002093737506657	0
XRN1	0.0002196746744536	0
TFF2	0.0002251633986412	0
FTL	0.0002297611118439	0
TICAM1	0.0002306936372098	0
TRIO	0.0002405709304633	0
EMC2	0.0002497097077091	0
BIRC5	0.0002542902744068	0
DPH1	0.0002637425407233	0
SLC9A3R1	0.0002719217002643	0
WDR61	0.0002733545477234	-1
TRMT11	0.0002806236230351	0
