gene	p-value	label
KHDRBS1	1.8043524904402365e-07	0
RBL1	1.8313888699631053e-07	0
GRIN1	2.087378406883356e-07	0
HIF1A	2.093162437234662e-07	0
ARAF	2.11611244006836e-07	0
PDGFRA	2.264837891276344e-07	0
GATA4	2.3675981630355083e-07	0
TLN1	2.375175852087553e-07	0
ACVR1	2.4278686620888254e-07	0
PRKCG	2.513179329113739e-07	0
ACTN1	2.779383953714963e-07	0
CDC25A	2.9905829873578285e-07	0
NKX2-5	3.09945533293919e-07	0
ARNT	3.1111039827524685e-07	0
KRT18	3.887971507104294e-07	0
SIN3B	3.941311827774871e-07	0
MAPKAPK3	3.9522070692839394e-07	-1
MAP3K12	4.0126095758635206e-07	0
MAPK4	4.302390336341097e-07	0
DIRAS3	4.327229924300803e-07	0
RALBP1	5.045260649283302e-07	0
SLC2A4	5.424097093450761e-07	0
PTPRJ	5.660242977275871e-07	0
PRKCI	5.791031259918739e-07	0
NGFR	5.80087138049349e-07	0
NKIRAS1	6.088501281396705e-07	0
MAP3K9	6.135549866825322e-07	0
MLH3	6.1480013860608e-07	1
RND2	6.195562749104145e-07	0
RAB20	6.389288691890463e-07	0
CD79A	6.564042745448583e-07	0
RASL12	6.915710337222398e-07	-1
CAPN2	6.916940461289556e-07	0
STX17	7.306061919830258e-07	0
E2F4	7.711416691853198e-07	0
NKIRAS2	7.868268257332706e-07	0
ZYX	8.301042905326632e-07	0
FGF2	8.524333007431029e-07	0
CD79B	9.051282416305688e-07	0
LAT	1.0804462828039827e-06	0
RHOB	1.2154518378203255e-06	0
FNTB	1.287510814751155e-06	0
MYH2	1.3272565023779594e-06	0
EIF2S2	1.3715203618535091e-06	0
RASL11A	1.4319015239147203e-06	0
EIF2S3	1.587257297488561e-06	0
DIRAS1	1.6832768089345124e-06	0
CAMK4	1.7871450765489591e-06	0
NPPA	1.826756440044864e-06	0
GHR	1.84715264663149e-06	0
RHEB	1.9669167752971626e-06	0
CTNNA1	2.0871148976433643e-06	0
MAP3K13	2.4547717645837555e-06	0
IL2RG	2.492327924389796e-06	0
CXCR4	2.9026662783985816e-06	0
CSF1R	3.1035487586235294e-06	0
LGALS1	3.7058080840233576e-06	0
EIF2S1	4.534245564991343e-06	0
JAK3	4.636652980412554e-06	0
NMI	5.356470227430655e-06	0
RASSF1	5.596961361968943e-06	0
SOCS3	6.409243888485964e-06	0
HMGN1	6.661588307702588e-06	0
PPP1R13B	6.808386304231635e-06	0
CAMK1G	7.377716255409312e-06	0
DIAPH1	7.604316765920232e-06	0
RAP2B	1.2872682383480098e-05	0
RACGAP1	1.3080428263476836e-05	-1
EIF2B2	1.4377624141383716e-05	0
RHOD	1.4437167941346518e-05	0
EDN1	1.518438298987334e-05	0
F2R	1.5533416289501313e-05	0
RASSF2	1.636806140697436e-05	0
BUB1	1.6888362132690732e-05	0
GRIN2D	1.7631130881308698e-05	0
PTPRB	1.7966927988195287e-05	0
KCNA3	1.8885311876443216e-05	0
SPRY2	2.3174345808583664e-05	0
GNA11	2.3538370392129003e-05	0
EGR1	2.360723954421427e-05	0
CDC25B	2.4415939774054328e-05	0
TBXAS1	2.6214861635946813e-05	0
KCNA1	2.816900624210168e-05	0
RABGEF1	2.9404061095564905e-05	0
FOXO3	2.946915685517738e-05	0
FGR	3.121848924741615e-05	0
FLT4	3.23467001106898e-05	0
NGF	3.2996483711326575e-05	0
ARHGEF1	3.738872400617742e-05	0
FBP2	3.882335570951935e-05	0
CSF2RB	4.264691994624795e-05	0
NTRK1	4.3928736235973625e-05	0
DDX20	4.786519306130164e-05	0
IL6ST	5.669646313109911e-05	0
TDRD7	5.862361601946451e-05	0
ELAVL1	5.922232583739144e-05	0
TTC1	6.730181358290038e-05	0
CAP1	7.101475047546337e-05	0
ABL2	0.0001026711923857	0
PLD1	0.0001124126534163	0
HAND2	0.0001156957344883	0
EPO	0.0001252565594453	0
HAND1	0.000132415549619	0
ARHGAP5	0.0001374417710284	0
HBEGF	0.0001557457613853	0
ADAM12	0.0001580283635952	0
AGTR1	0.0001693298342838	0
CSF1	0.0001694598256709	0
EPOR	0.000177220639399	0
DOCK1	0.0001816465916691	0
MS4A2	0.0001871278349654	0
RAP2C	0.0001887986183287	0
MMP9	0.0001966940873427	0
HGF	0.0002218926103477	0
HOXA7	0.000226082424195	0
CXCR3	0.0002415895662036	0
RECK	0.0002600597816662	0
DGKZ	0.0002712954051594	0
MMP14	0.0002848142230827	0
EIF1AX	0.0003027674329519	1
MAL	0.0003029723996574	0
BRAP	0.0003151972681528	0
PAX3	0.000332386187892	0
KRAS	0.0003617267195646	1
TIAM1	0.0003767440067203	0
MUTYH	0.0003936489178031	0
CAT	0.000414597102484	0
EIF2B1	0.0004224635247536	0
FOXO4	0.0004442030952255	0
PTPN7	0.0004512341116057	0
TIMP2	0.0004534307522671	0
FCER1A	0.0004983415257512	0
GNA15	0.0005042304422535	0
IKZF3	0.000530115976775	0
SPRY1	0.0007493522358896	0
NF1	0.000803622607423	1
GRB10	0.0008292879455817	0
IL6R	0.0014187263426402	0
RASSF5	0.0015574044092068	0
SOS2	0.0015725899268697	0
ICMT	0.0015871086428431	0
NOX1	0.0022093442858073	0
PIK3CD	0.002839415652265	0
TLR9	0.0033792067071707	0
F2RL3	0.003907294214732	0
CUZD1	0.003926081670575	0
TIMP3	0.0046289511363277	0
PRAM1	0.0046453709128769	0
RASGRP2	0.0047240205683135	0
SPRY4	0.0048402631688742	0
GSK3A	0.0056274011186741	0
RABAC1	0.0059596458106906	-1
TFF2	0.0060809133150103	0
RALGDS	0.0061744182665926	0
PDE6D	0.0063795556769301	0
MDH1	0.0066567156431364	0
NRAS	0.0069636264405962	1
PDGFB	0.0072409213771852	0
ETV3	0.0074197293891443	0
EIF2B4	0.0077914435341266	0
GREB1	0.0082322640554897	0
CCL11	0.0084885471503715	0
IL24	0.0088402006733748	0
EIF4G2	0.00979081718413	0
ARHGAP4	0.0098713547302696	0
CCDC180	0.0101358200421847	0
PTPRR	0.0102711229750639	0
RIN1	0.0105784122583941	-1
RASGRF1	0.0110089161316902	0
DEAF1	0.0111697432760868	0
CABIN1	0.0112208353618409	1
RGS14	0.0115276479966453	0
RAP1GDS1	0.0118372078801601	0
ARF1	0.0126017381809053	0
AP2A1	0.0126139924939821	0
EIF4A1	0.0127221432753768	0
RGS12	0.0131080070178521	0
RASGRP1	0.0152239932173909	0
EDNRA	0.0153575483263177	0
STRADA	0.0158462536000569	0
GCH1	0.0160565105156888	0
GPSM2	0.0160787751377138	0
RANBP10	0.0161579278981954	0
CCT4	0.0162335859005197	0
PDGFRL	0.0169841789316921	0
EEA1	0.0172814761535015	0
ATP6V0A2	0.0173406014184892	0
GRB14	0.0175447545505892	0
PEBP1	0.0176982291438337	0
ACO1	0.0177664010186933	0
SLC7A1	0.0178727527907369	0
RNF115	0.0181763768896498	-1
MTOR	0.0184407735564442	1
PARP1	0.021842784091052	0
EIF4G3	0.02221889303479	0
RICTOR	0.0225593580229125	0
SNX17	0.023065917569177	0
EIF4A2	0.0239007154292098	0
TAF1	0.0249134011232513	0
UXS1	0.0260140534010726	0
PKN2	0.026057898634118	0
ANGPT2	0.0265659536174226	0
PAK6	0.0274882510611159	0
AKT3	0.0275341982093638	0
XIAP	0.0287530808454203	0
BID	0.0291123127157368	0
PPA1	0.0305528037854795	-1
MAPT	0.0307046053344577	0
VAV2	0.0311244770935944	0
AKT2	0.031678303030966	0
CXCL1	0.0335095073144622	0
BPGM	0.0353871556338217	0
RGL2	0.0358749384136263	0
NFKBIB	0.0360448424318399	0
PDK2	0.0363396782872026	0
WNT1	0.0378278735022368	0
CASP6	0.038037917936977	0
ANGPT4	0.0390273270012804	0
NR2F2	0.0401817676486134	0
MAP3K1	0.0405165430133113	1
FZD1	0.0405951788639535	0
XRCC6	0.0406025510644602	0
TRIM13	0.0413730263091819	0
BDKRB2	0.0418277818364251	0
CASP7	0.0421644485320256	0
TERF1	0.0424138456133482	0
HMOX1	0.0439434711007188	0
RASL10B	0.0439507916761412	0
RAB3D	0.0443556970375842	-1
RYR2	0.0445617476867797	0
PRKAR2B	0.045036579081473	0
PI4K2B	0.0453295937502637	0
CASP3	0.0453670966576478	0
PRKAR1B	0.0460549472815663	0
SOAT2	0.0461410774183556	0
PEA15	0.046312461745145	0
RPS6KB1	0.046652632505835	0
BIRC5	0.0473957215573459	0
PDE3B	0.0479345024243481	0
CHUK	0.0481931721350351	0
PRKCZ	0.0482126188448693	0
PABPC1	0.0485407650789534	0
PDE3A	0.0489899365528059	0
GFAP	0.0495252573124668	0
GJA1	0.05017613334027	0
RPA1	0.0511076312290777	0
BAX	0.0516039279231589	0
PRKAR1A	0.0521042542524114	0
THEM4	0.0521872032307028	-1
SERPINB5	0.0524092206352973	-1
PFKL	0.0528427019187895	0
GATA2	0.0543557423018862	0
AP2M1	0.0543888052702985	0
ATM	0.0551335643347591	0
ANXA1	0.0554840289603475	0
NCOA4	0.0556760813648928	0
ILK	0.0562314311159033	0
PDE2A	0.0594692703918745	0
PRKACB	0.0611997868183293	0
FHL2	0.0612056528340516	0
CREBBP	0.0617556740087346	0
PLXNB1	0.0626539376052211	0
PLXNA1	0.0628541944076527	0
SRR	0.0657883582661719	0
TSC2	0.0665804386231011	0
MAPKAP1	0.0667292605937223	0
RB1	0.0668138271399895	0
CHN2	0.066827171318855	0
SIRT6	0.0669993989626956	0
STAT6	0.0677657518225397	0
EIF3A	0.0685825159226207	0
CARD11	0.0688890412241609	0
PRKAR2A	0.0690895058553748	0
MDM2	0.0698993793494315	0
DVL2	0.0699892808946111	0
PDPK1	0.0712653150968575	0
MYC	0.0714536486408484	0
NR3C1	0.0723470617970528	0
EPSTI1	0.0733042811323014	0
ITPR3	0.0740432317941384	0
EP300	0.0745784278046766	0
CASC3	0.0771077689903979	-1
SH2B2	0.0779117117902105	-1
CHRM1	0.0796288789523766	0
EIF2AK2	0.0801158684628072	-1
DPF2	0.0807656338981961	0
INPPL1	0.080836330063281	0
SMPD1	0.0818971352224954	0
IL4R	0.0824328017686019	0
AXIN1	0.0835929537020744	0
PFKFB1	0.0851738193732587	0
ELK1	0.0890963806636545	0
ZHX2	0.0900760542754337	0
SMPD2	0.0901424448514466	0
SPR	0.0904895064872579	0
ZDHHC21	0.0922911860161332	0
APPL1	0.0929763055515269	0
FOXO1	0.0932787514955957	0
ARFIP2	0.0935774282284405	0
PAK1	0.0947300817105337	0
ZBTB7A	0.0951744818260029	0
FOS	0.0963532574731131	0
PHLPP1	0.0972314227959391	0
XRCC5	0.0985319789532063	0
PFKM	0.0991585401268086	0
EEF2K	0.1000292615164977	0
MRC2	0.1001009489739366	0
DVL1	0.1006423505635562	0
TPM4	0.1017875080724465	0
PFKP	0.102272587238612	0
SULT4A1	0.1036588208511886	0
SORBS2	0.1071147298793108	0
JAG1	0.1077587100516218	0
IGFBP3	0.108162743563731	0
CAMKK2	0.1099335890622176	1
RASIP1	0.1104461014099216	0
MAPK14	0.1107555352895369	0
WNK4	0.111254158950094	0
MYD88	0.1120310852487881	0
TERT	0.1122499115269066	0
THRSP	0.1127620599775979	0
PREX1	0.1128340313420123	0
ARHGEF6	0.1180713424104443	0
HSP90AA1	0.1184981534574616	0
AR	0.1197781124760273	0
CLIP3	0.1212792741612546	0
SH3RF1	0.1219318557342998	-1
SHC1	0.1219690471052171	0
PTCH1	0.1224237431024589	1
APC	0.1252434589345696	0
AKT1S1	0.12582745288878	0
DDX1	0.1265275184445278	0
TNKS	0.1265338225656381	0
RUNX2	0.1266722793032265	0
EIF4G1	0.1291583675495529	0
POLR2F	0.131726053260368	0
PPP6R2	0.1332414085681205	0
ASXL1	0.1341838868774874	0
PFDN6	0.1362519731087111	-1
SRC	0.136720225094362	0
DDX5	0.1370878391358628	0
RASL11B	0.1383994853740283	0
ITGB3	0.1401678366581093	0
PRG2	0.1445391170999101	0
PPARGC1B	0.146224185581244	0
RBBP7	0.1463959620582702	0
ST14	0.1464452310309424	0
PHLPP2	0.147069571178858	-1
S1PR1	0.1472271077677415	0
RAPSN	0.1479816169407821	0
PWWP2A	0.148568893714193	0
KAT6A	0.1512648862926482	0
HIC1	0.15168996513461	0
RASGRP4	0.1541397644057022	0
MLXIPL	0.1545048224138164	1
TTC3	0.1564839817314683	0
PPM1D	0.1574473851595471	1
E2F6	0.1581483897666777	-1
SETD1B	0.1591280603429022	1
MORF4L1	0.1595994412790242	0
SETD2	0.1604076424126664	1
DNMT3A	0.1612973595419024	1
MUSK	0.1646802749691299	0
LSM5	0.1651986753261321	0
LBP	0.1657807310796895	0
PTBP3	0.1662480784202595	-1
RET	0.1672958024525805	1
KIT	0.1684113170245791	0
DCC	0.1685843893126963	0
SMARCB1	0.1689819181706531	1
BTF3	0.1692377563964835	-1
KMT2D	0.1717053438209447	1
SPHKAP	0.1720129303628906	0
TAF12	0.1728634576153859	0
RGL1	0.1730660530163942	0
USO1	0.175092002175179	0
ADSL	0.1753613056539611	0
GADD45G	0.1756698455168254	0
CORIN	0.1767115136833985	0
RELB	0.1767200868879653	0
DCTPP1	0.1792985987052304	0
FZD6	0.1804436580071204	0
AKT1	0.1806853451437296	0
GRB2	0.1813771846854551	0
MED8	0.1816705373538514	0
KIF7	0.1825695293882456	0
CCT7	0.1825822509405157	0
MAPK8	0.1826245426021103	0
ELMO1	0.1844016067012133	0
SF3B1	0.186276550997117	1
AHSG	0.1868096662606748	0
ZBTB17	0.187554803829038	0
MSH5	0.1902863936241209	1
CEP97	0.1902895039371903	0
KHSRP	0.1911750725313131	0
IRF9	0.1916072268874323	-1
DDAH1	0.1918069288270377	0
SRRM2	0.192720460620927	0
SERTAD4	0.1932915532377381	0
NF2	0.1935480354661141	1
LLGL1	0.1989915580107989	0
CHEK2	0.2003285649708628	1
LTBP2	0.2004569548224143	1
MLH1	0.2028491488086434	1
ZFP36L1	0.2040835417066486	0
TG	0.205172694603045	1
RHPN2	0.2070339298731826	1
KIFC3	0.20750179249853	0
ANAPC10	0.2089940506646116	0
GTF2F2	0.2091309133625056	0
ACTA1	0.2094069837072092	0
DDX24	0.2101008772967914	0
PKN1	0.2106817936732605	0
RHEBL1	0.2107895116774281	-1
METAP1D	0.2115030985059255	0
LPAR4	0.2134067946782781	1
EEF2	0.2135215589883217	0
NFKBIE	0.213986063812553	0
PINK1	0.2147642237462003	0
FKBP10	0.2169039392076518	0
SENP3	0.2185403116016367	0
COPZ1	0.2191414916905143	0
POLR3A	0.219265297761989	0
ILF3	0.2194740566726846	0
CDC14B	0.2198899088445858	0
NBR1	0.2206536133139019	0
GLI2	0.2207293210972629	0
TAF4	0.2207661204510789	0
GLI3	0.2210562753082153	0
AMER1	0.2211081894320719	0
BLOC1S6	0.2213744165765375	0
CWC22	0.2220036888439747	-1
MYL12A	0.2227081242195096	1
ANKRD52	0.2243063651050233	0
TSPYL2	0.2251076701303072	0
HDAC3	0.2259887384583435	0
SRPK3	0.2261373828093043	0
TEP1	0.2274332564742861	0
RPN1	0.2276389936619258	0
WWC1	0.2280836609641303	0
