gene	p-value	label
ABCC3	0.0001112342084105	0
CD3E	0.0001114555304729	0
CYB5R1	0.0001185919285959	-1
ZNF33B	0.0001215985918732	0
BLOC1S6	0.0001318599395526	0
UHMK1	0.0001348266690128	-1
ZNF33A	0.0001490637964503	0
CD8A	0.0001558966099717	0
TXNL4A	0.0002047593622754	0
CD28	0.0002237327842625	0
IFNG	0.0002638037900238	0
ABCD3	0.0002652106479635	0
FKBP10	0.0002720329599947	0
ABCA1	0.0002721278396618	0
ABCB6	0.0002852277631434	0
ABCB8	0.0003090457952802	0
FAU	0.0003164192333694	0
CD34	0.0003221726937577	0
HIF1A	0.0003230476258849	0
ABCB10	0.0003347010949833	0
CCR5	0.0003543743273609	0
ITK	0.0003593468954712	0
XPO6	0.0003862330658134	0
PKM	0.0003885361885042	0
ATP6V1A	0.0004279649952676	0
ATP6V1E1	0.0004317914271605	0
DGKA	0.0004325780576519	0
CD86	0.0004418050663061	0
MIPEP	0.0004596200860599	0
SEMA4C	0.0004733810498821	0
ABCC5	0.0004983085983623	0
TOP3B	0.0005000821432938	0
COL18A1	0.0005383933367601	0
WDR48	0.0005792815327689	0
COPS6	0.00058151344079	0
TOP3A	0.0006042465331182	0
ABCB7	0.0006100413168954	0
ABCB9	0.0006218959729172	0
DOCK6	0.0007107315788603	0
CD2	0.0007246696903903	0
ATP6V1G1	0.0007635556275607	0
DCAF12L2	0.0008798268074116	0
SEMA4F	0.0008851168003404	-1
ERCC3	0.0009038459491227	0
SELPLG	0.000964781860897	0
DNAJC10	0.0009790647685327	0
FUS	0.0010020642264313	0
TSPYL1	0.0010286287785945	0
GTPBP3	0.0010323816491662	0
FUT4	0.0010691485374816	0
TXNL4B	0.0011196907137045	0
ATP6V0E1	0.0011864208359361	0
ABCA3	0.0011893703477959	0
C16orf54	0.0012143258872191	-1
AHDC1	0.0012990106878261	0
CIAO1	0.0013068681371194	0
SEMA6C	0.0013567270678883	0
POLI	0.0014031349821244	0
SELENBP1	0.0014229088195102	0
KCNA3	0.0014259466635121	0
GOLGA3	0.0015200025105121	0
CYB5R2	0.0016252394040927	0
RMI1	0.0016254662380717	0
EIF2S2	0.0016513158423503	0
RIN1	0.0016558666599396	-1
MORF4L1	0.0016826941032702	0
KIF20A	0.0017072273272639	0
TYMS	0.0018244700760355	0
SNX17	0.0018464603447845	0
CA4	0.0018888589794996	0
CYB5RL	0.0019166693545541	0
ATP6V1C2	0.0019565223518769	0
GSPT1	0.001972839514802	0
DNAJC6	0.0020527717042126	0
GRB2	0.0021227549980112	0
CSF3	0.0021850832924112	0
POLK	0.0022721040393638	0
ABCB5	0.0023240884621085	0
REV1	0.0023519078182047	-1
ABCG1	0.0024944061829512	0
CD58	0.0025461604303009	0
LRCH1	0.0027355961894243	0
UXT	0.0029398725837386	0
TMX3	0.0031503148861316	0
ATP6V0E2	0.0032115421149118	0
FBXO6	0.0032326451986749	0
PTPN1	0.0032449133164553	0
ATP6V1E2	0.0032589134275935	0
CDC42BPA	0.0033409399965786	0
ABCA2	0.0033788810270449	0
MCM10	0.0033915142238139	0
BIRC6	0.0034427041858375	0
ARHGEF7	0.0035787716372356	0
ARMC9	0.0035977882855945	0
PBRM1	0.0036984667700361	1
FAN1	0.0037136252432814	0
ATP6V1G2	0.0037169008739769	0
SEMA7A	0.0037379404080207	0
ABCG2	0.0038547500710326	0
RPL35A	0.00389200350552	0
KIF11	0.0039764566795983	0
NXN	0.0039791400925625	0
QSOX2	0.0040860448224605	0
RPS29	0.0042595272042693	0
FANCI	0.0043996375939063	0
VCAN	0.0044834840677249	0
FAM83G	0.0044911752979015	0
EIF3H	0.0051761297477094	0
COIL	0.0051890310336937	0
MTRF1L	0.0053831810653378	-1
MAP4K2	0.0054357216919644	0
PDIA4	0.0054515852317591	0
CRLF3	0.0055424488863726	0
PDIA3	0.0055861044787406	-1
ABCC12	0.0057741672836006	0
C7	0.0060665363429111	0
C3	0.0061105019339196	0
PABPC1	0.0062016167598582	0
SYK	0.0062421995232595	0
ABCC10	0.0062799720534129	0
LYPD6	0.0065699953876313	0
SLC4A1AP	0.0066524983612983	0
ITGA6	0.0068974184725511	0
KIF4A	0.0070039678520024	0
CDC6	0.0072351805931615	0
KIF15	0.0072651837904383	0
LRCH3	0.0073147073104283	-1
SEMA6D	0.0076036425246544	0
CUL4A	0.0076700863604573	0
KIF23	0.0077612671360831	0
ABCA8	0.0079096604880953	0
KIF18A	0.008209939969943	0
SH3RF1	0.0082810936151738	-1
HNRNPA1	0.0083901134643521	0
PICALM	0.0086747395179378	0
RANBP10	0.0092822138965981	0
KIFC1	0.009283901071524	0
TAPT1	0.0094553923180032	0
SERPING1	0.0094684828742936	0
ABCA7	0.0095574984781105	0
ERCC4	0.0098124253438782	0
TXN2	0.010659486479373	0
CNOT7	0.0106754804719533	0
SS18L1	0.0108244340186334	0
ABCA4	0.0109103956640965	0
ICOS	0.0110734827410881	0
MFN2	0.0112232183757003	0
SYT11	0.0112833705255148	-1
GTF2H1	0.0115208687711768	0
ABCA9	0.0116009071182031	0
SC5D	0.0116857938652641	-1
PJA1	0.0117076578047062	0
CA2	0.0117466340395159	0
CPSF2	0.0117772373361312	-1
AK4	0.0119051502675791	-1
ABCC11	0.0119076911321098	0
TAF1	0.0121807510783464	0
RPS9	0.0124042765789475	0
DDX39B	0.0126776259432338	0
HSPD1	0.0127272261317086	0
NDUFS7	0.0127342851057853	0
FANCB	0.0127926929317269	0
PARN	0.0132545469202033	0
ERCC2	0.0134110784819368	0
ABCA5	0.0135433626130038	0
CALU	0.0135440310980493	0
VPS16	0.0139546477034117	0
DCAF12	0.0140531530117863	-1
SRSF9	0.0141685376678815	0
SELP	0.0142672898506913	0
POLN	0.0142999407693103	0
CABIN1	0.0147614061539196	0
ST14	0.0150939998728416	0
KIF5C	0.0151943774166008	0
ABCG4	0.0152486071103244	0
SH3GLB2	0.0152799564807733	-1
CCNH	0.0154659188475749	0
D2HGDH	0.0154779575426506	0
CNOT8	0.016956207268161	0
KCNH7	0.017134352992517	0
EIF2S1	0.0172977579879539	0
EIF3L	0.0173428293155485	-1
GTF2F2	0.0179864904981524	0
EIF2B2	0.0184355015471315	0
KCND3	0.0185116505426014	0
SP100	0.0187465360446492	0
ORC4	0.0190769843593515	0
KIF2A	0.0194598610403299	0
GADD45G	0.0195150289349164	0
CDC45	0.020005568672022	-1
PSMD8	0.0200391651094754	0
ABCG5	0.0200415551007313	0
DCTN2	0.0208903874053104	0
KCNQ1	0.0209515608515491	0
PPP1R9A	0.0210442496776498	0
GABARAP	0.0223797084275869	0
ACIN1	0.0224398486891396	0
HERC1	0.0233183198538284	0
SEC63	0.0235116800939391	0
AK1	0.0237954763136462	0
AKAP9	0.024117561852231	0
KCNA1	0.0245044571906546	0
EIF3K	0.0246392037460143	0
AGO4	0.0251958827321498	0
SOCS6	0.0256998512345506	0
DNAJC1	0.0258378284018831	0
DYNC1H1	0.0259327494737973	0
HBA2	0.0259721476110014	0
LRPPRC	0.0264120004847487	0
MACF1	0.0271686688248584	0
RHOC	0.0274171955023292	0
PIGN	0.027494239862357	0
KIF5B	0.0279358085339096	0
PSMD7	0.0279421026776217	0
DCP1B	0.0279502209749254	0
MCM3	0.0280768683803504	0
TXNDC9	0.0283437494384137	0
GTSE1	0.0284108066854968	-1
ORC1	0.0284374168841494	0
ASPM	0.0288173614864429	0
TRIM27	0.029649859442463	0
CYB5R4	0.0297080724007661	0
ORC2	0.0297722544698373	0
GSPT2	0.0299601338275274	0
MOB1A	0.0299618493631326	-1
ELAVL4	0.03021097846011	0
AGO3	0.0302800374535182	-1
RECQL5	0.0304451866051622	0
FGFR1OP2	0.0304830169683804	-1
SNAP29	0.0312868456828732	0
INPP5A	0.0313836721619478	0
NDUFS1	0.0314623209602064	0
TPX2	0.0316762514602644	0
GFM1	0.032112228543956	0
GZMK	0.0324716118537252	0
RGN	0.0330438117710557	0
PRKG2	0.0335279743226647	0
SOS2	0.033569808750013	0
DNAH1	0.0336937284384092	0
TRADD	0.0338720696461793	0
SETD2	0.0339225484202395	1
CDC7	0.034124805598676	-1
KCNH1	0.0341409943338905	0
SUGT1	0.0345211999175269	0
CNOT6L	0.0350135995063879	0
MEAF6	0.0353451406337816	0
KCNH2	0.0356219530621622	0
DBF4	0.0358382143866212	-1
EGFR	0.0361523770871138	0
IFIT3	0.0363148382342826	0
ANK1	0.0369265206638278	0
PSMD12	0.037296665936288	0
DNAJC21	0.0375675453883847	0
AKAP13	0.0376855111474686	1
MAP3K8	0.0377677739608674	0
SLC4A4	0.0378956080366064	0
SYNJ2	0.038913396460614	0
TYMP	0.0389408692595333	0
WWC1	0.0389525739606739	0
PSMC1	0.0390161823925142	0
SIK3	0.0391329906379095	0
MYCL	0.0392124758711892	0
FNTB	0.0395562481339651	0
RAB11FIP1	0.0400551828381858	0
LATS1	0.0402295725201692	0
KCNH3	0.0403443732149082	0
KCNH8	0.0404387934632569	0
PRKCD	0.0405355915742214	0
MOB1B	0.0407571209036377	-1
KCNH6	0.0410719669863053	0
KCNAB3	0.0416956157529464	0
TBCD	0.0427643496926054	0
HOMER1	0.0427844364073132	0
MAP3K4	0.0437098899422581	0
LARS2	0.0438841843135508	0
RPN2	0.0442341815816909	0
SLC12A7	0.0443047940037555	0
RPL31	0.0445776729248924	0
BLM	0.0450103605390067	0
PSMD6	0.0450537660866512	0
EIF2B3	0.0451419840769142	0
OSBP2	0.0451586630479055	0
RABEP1	0.0453972523913974	0
XRCC3	0.0455760777820072	0
ELAVL3	0.0456121750523244	0
ATP6V0B	0.0457072840684075	0
ITGA3	0.0458033916110784	0
NNT	0.0458795988818593	0
LAMC1	0.045938579519995	0
FAT1	0.0463801233905356	0
SCP2	0.0467712713466519	0
TRAK1	0.0470078947906522	0
CHD1	0.0479137270524519	0
TMTC3	0.0486032132626453	0
ORC3	0.0491756563686362	0
KCNA5	0.0492584274811617	0
KLF6	0.0493071891411253	0
MAP3K10	0.0497440163924404	0
EIF4A1	0.0500067590194087	0
ATP6V1H	0.0502203063130308	-1
ARAP1	0.0504953262123717	0
SLC7A5	0.0508517845725099	0
CYC1	0.0509656421938739	0
XBP1	0.0515582030190813	0
KCNG1	0.0517707747772929	0
SEMA3G	0.0520859789180893	0
PRKDC	0.0521615857078867	0
RENBP	0.0524407232723266	0
SLC4A2	0.0525127411803412	0
ELAVL1	0.0527876424759466	0
ORC5	0.0536694805267562	0
UBXN10	0.0542971601320728	0
GPR156	0.0549648467664879	0
CORO1B	0.0551571637024007	0
KLRB1	0.0552581935211049	0
ILK	0.0552839207805408	0
COMMD1	0.0554410330650012	0
LYPLA2	0.0556162537267196	0
MRPL38	0.0558220967980433	0
CEP250	0.0566623612186374	-1
DDX24	0.0569200421774647	0
DCTN4	0.0570976289558278	0
FBXW7	0.0587537217723194	0
PHB	0.0589700065600128	0
EPB41L5	0.0590945666911949	0
REV3L	0.0593271280932751	0
FANCG	0.0594749115382806	0
RNMT	0.0596322319001017	0
ERG	0.059954879459777	0
TAF9	0.0601002842679656	0
FANCD2	0.0601393726289204	0
TAB1	0.0603950772902762	0
VAMP4	0.0604558097865493	-1
HNRNPUL2	0.0604945712954411	-1
SLC4A10	0.0607476838226963	0
KCNC3	0.060827276396418	0
MCM7	0.0615447412370393	0
KCNG3	0.0619476408341028	0
KMT2D	0.0620553850267295	1
AMPH	0.0622790490672091	0
SLC6A8	0.0623223923187672	0
ATG3	0.0630964645819698	-1
EPO	0.0632081827316857	0
LAMB1	0.0632112161727529	0
GGA1	0.0634162649755145	0
PPP2R5C	0.0634771755436137	0
ATM	0.0637413128207433	1
TSNAX	0.0639947709844004	0
MUS81	0.0641703839822449	0
CDC42BPG	0.0645023639924571	0
KCND2	0.06471538076237	0
FLCN	0.0648758616655081	0
DYNC1LI2	0.0651229774830681	-1
PAPOLA	0.0652328968087081	0
AP3S1	0.0662703166309993	0
KLF15	0.0665786988661355	0
KIF2C	0.066859101806146	0
KCNF1	0.0669073188978857	0
KCNA4	0.0669883391604652	0
IRS1	0.0670660273861137	0
ETFA	0.0671401454209128	0
ACOX2	0.0676284847631675	0
NF2	0.0677106851434617	1
CCNB2	0.0689060068839484	1
TAF6	0.0690766259493613	0
PIBF1	0.0691118276718542	0
GABPA	0.0694201238735426	0
MARK3	0.069931417217818	0
FANCE	0.0699591549471555	0
MCAT	0.0699983317873372	0
USP7	0.0700865592586027	0
KCNC2	0.0703799613243314	0
ATN1	0.0704903224616005	0
PSMC4	0.0708523152572721	0
MDM2	0.0712462904558171	0
ATP6V0A2	0.0722091592371199	0
ELK3	0.0722722363890821	0
E2F1	0.0724344951726698	0
CAD	0.0725520200464023	0
ACBD3	0.0726919326390914	0
KCNA6	0.0727584349029671	0
RABEPK	0.0727731715441743	-1
DNAH9	0.0729149997086131	0
FCHSD1	0.0732699248453198	0
PPID	0.0738564214439782	0
TRIM39	0.0739412107299256	0
STX10	0.074095234648493	0
LAMA1	0.0741622010515281	0
PSMD13	0.0746247818575819	0
EIF2S3	0.0750980850318456	0
TFDP1	0.0753935950809495	0
KCNS2	0.0755553424651513	0
MRGBP	0.0756254251760444	0
PEAK1	0.0758301339248749	0
EIF1AX	0.0761698915968816	0
CCDC138	0.0767150931783441	0
DSG1	0.0771758310281718	0
PARD3	0.0772621908497594	0
KEAP1	0.0774413615038499	0
PCF11	0.07771038636481	0
PTEN	0.0777499155553435	1
GALNT8	0.0779066943828462	0
HUWE1	0.0786958864488774	0
MAP3K6	0.0787801266340714	0
PDSS1	0.0790386980480263	0
OSBPL3	0.0790579794428222	0
WDR83	0.0791482371375773	0
STX16	0.0794424687232229	0
PDGFRA	0.0795280788372711	0
SLX4	0.079597091292628	0
TAF2	0.0800589908695892	0
COG7	0.0809298156115206	0
FAXDC2	0.0812087647795733	-1
UBA1	0.0818900356626637	0
L3MBTL1	0.0822516245896878	-1
NADSYN1	0.0826196761764394	0
RPRD2	0.0839454667431546	0
CDT1	0.0845543791936442	0
ERF	0.084632914894431	0
TAOK1	0.0850503623804718	0
MAP3K11	0.0855643086332337	0
TFPT	0.0858253816827035	0
OCRL	0.0858653164868308	0
SULF1	0.0859016091288211	0
L3MBTL2	0.08599648741157	0
KMT2C	0.0877041422665899	1
SPIN1	0.0880866827971897	-1
COG5	0.0881198931884836	0
KCNA7	0.0887937412305351	0
BCL2	0.0888141506882473	0
NME8	0.089316095374362	0
PSEN2	0.0893440852587679	0
IFT74	0.0899575757584302	0
PPP1R12A	0.0906180380893653	0
GOPC	0.0911355120452628	0
DGKZ	0.0912633990345409	0
NIF3L1	0.0915543130763975	0
LAMB2	0.0915680267054503	0
UBE2G2	0.0917836570845207	0
TBP	0.0919785451106738	0
POT1	0.0922377863990112	0
RPL22	0.0923086914820238	0
AP4B1	0.0930484996249492	0
IMPA2	0.0930678110307986	0
MTA2	0.0940883406785564	0
NME9	0.0942613939389125	0
NPAS2	0.0943644018868854	0
TMCC2	0.0948646722466687	-1
FAM131B	0.0960104340998467	0
NOD1	0.0960204061086172	0
NDUFB4	0.0966094511034108	0
P4HB	0.0966430941909603	0
PPP2R5A	0.0969575817706424	0
SPTBN4	0.0969750040810976	1
EME1	0.0970630918674774	0
RAD51C	0.0974062909841038	0
FKBP8	0.0978572896301007	0
KCTD5	0.09788163895276	0
CDK12	0.0981701283496511	0
KCNS3	0.0981854604644666	0
RERE	0.0983269669208125	0
SPAG9	0.0984739444491563	0
BCL2L1	0.0985678378221104	0
SVIL	0.0996481649245847	0
BET1	0.099944337993183	0
ARFIP2	0.0999612020933285	0
DNAJC17	0.1004373060551788	0
RPL23A	0.1008738928496739	0
RING1	0.1008798180641816	0
NDOR1	0.1018087051495546	-1
FDXR	0.1019774434749566	0
ACADSB	0.1020322244245924	0
EP300	0.1024695845688024	0
MYO10	0.1030178179538995	0
ATXN1	0.1030915897837135	0
SH3GL1	0.1038014276403474	0
HSP90B1	0.1046408118429909	0
FANCM	0.104679795164976	0
ZNF462	0.1049216954004924	0
NES	0.105365725780795	0
SSU72	0.1054475616354608	0
GOSR1	0.1056311628319292	0
AMBRA1	0.105708469217633	0
TES	0.1059460195860391	0
BARD1	0.1063642669428783	0
DUT	0.1065514895451021	0
PSMD10	0.1075728497561296	0
TP53	0.1078153058639876	1
KCNV1	0.1079609589099082	0
COG6	0.108643920770549	0
AP4E1	0.1088684734305783	0
CELF5	0.109549645903537	0
TUBGCP3	0.1095541558204171	0
