gene	p-value	label
SRC	2.1278938404166844e-06	0
CRKL	2.375476308240672e-06	0
MAP3K2	2.544205661925868e-06	0
ACTN1	2.874783528714387e-06	0
PDGFRB	2.996142100306285e-06	0
CD79A	3.2944573679129715e-06	0
CFLAR	3.8659598093568034e-06	0
RPS6KA5	3.9168775322735145e-06	0
STAT5B	3.959808955740159e-06	0
RALBP1	3.9612982707261575e-06	0
JAK1	4.7268138082287644e-06	0
CDK8	4.837515810507826e-06	0
CDKN1B	5.154714623051977e-06	0
NR1H3	5.366779877744608e-06	0
LAT	5.42889367976143e-06	0
AP2M1	5.871143341693985e-06	0
PGR	5.913116648353743e-06	0
MAP4K3	5.925158668483633e-06	0
CCT4	6.009471877060595e-06	0
TERF1	6.440203196353343e-06	0
PHB	6.538736864506735e-06	0
EIF2B3	6.643056737340381e-06	0
MAP3K10	6.805220387530687e-06	0
ETS2	6.950304117086018e-06	0
WNT1	8.351371114413936e-06	0
MAP2K5	8.408633291961157e-06	0
F2	8.698696887429877e-06	0
CD79B	8.754253041513515e-06	0
ADCY1	8.874550810031124e-06	0
BAX	9.358951526274422e-06	0
MTOR	1.0333347470394884e-05	0
VAV1	1.040678591024531e-05	0
MAP3K6	1.1280878179151696e-05	0
ROCK1	1.3075224981845446e-05	0
PRKAR2A	1.3393603401428882e-05	0
PRKCE	1.3401954194320751e-05	0
INSR	1.3856127699209494e-05	0
AGRN	1.6020830608505616e-05	0
NCOA1	1.7090531139617437e-05	0
PRKAR1A	1.7183809815214715e-05	0
NCF2	1.7883911244301395e-05	0
NFATC4	1.91660891783936e-05	0
WNK3	1.940345602529492e-05	0
WASF1	2.0621246741975723e-05	0
APAF1	2.5667826687405576e-05	0
MAP3K4	2.651800238803372e-05	0
PI4KA	2.728773009396636e-05	0
POLR1A	2.861070044560475e-05	0
MAPK9	3.097053901607453e-05	0
DIRAS3	3.130991081362198e-05	0
MAPK4	3.139146356209681e-05	0
CCNE1	3.477867631588476e-05	0
RHEB	3.583770826439486e-05	0
RPS6KA4	3.603859824248011e-05	0
EGF	3.6530185144732605e-05	0
MAP3K12	3.731351590642976e-05	0
IL6	3.758500611802455e-05	0
PRKAR2B	3.9350879259403554e-05	0
PRNP	3.961345733052473e-05	0
CAMK1	4.004280191204915e-05	0
PRKAR1B	4.018239246754095e-05	0
CUL1	4.218691444410724e-05	0
GAB1	4.546337395629682e-05	0
GBF1	4.5895056460511166e-05	0
MAP3K9	4.629592233752482e-05	0
BCAR1	4.768966669534005e-05	0
MAP3K1	4.879033850914343e-05	0
DUSP1	5.083094909932329e-05	0
FZD1	5.137648413104617e-05	0
PRKCD	5.180234099045811e-05	0
LIMK1	5.30788476639617e-05	0
GRIN2B	5.418351549860387e-05	0
CHEK1	5.539754861206806e-05	0
RAC1	5.570095602560655e-05	0
PRKACB	5.822352453773552e-05	0
DNAJA3	6.124269900451071e-05	0
ARAF	6.425622799568665e-05	0
EIF2S3	6.552235716885904e-05	0
NFATC3	7.171464230085275e-05	0
NEK2	7.18954836390115e-05	0
HMMR	7.41095065669718e-05	0
CDC25C	7.572657670578465e-05	0
EIF3A	7.693718234566613e-05	0
EIF2S2	8.576899915253287e-05	0
LAMA4	8.686710075171499e-05	0
PCBP1	8.727650398152357e-05	0
XRCC6	8.796308709804194e-05	0
FNTB	9.186001416961934e-05	0
KHDRBS1	9.633107038011728e-05	0
TFDP1	9.740083767442528e-05	0
TYK2	9.867645146833327e-05	0
SRF	9.881190882931598e-05	0
SERPIND1	0.0001051008323427	-1
WNK2	0.0001066942626156	0
