gene	p-value	label
PDK2	8.021796781534448e-05	0
SMAD1	8.044015340800087e-05	0
MTOR	8.291579929483503e-05	0
CYP26B1	8.764286737503735e-05	0
CYP26A1	8.792727961909279e-05	0
PTPRJ	8.80737710526942e-05	0
VCL	8.841935859641985e-05	0
IL18	8.874950089896753e-05	0
LGALS1	8.901351911580325e-05	0
CRKL	8.930795494938175e-05	0
PRMT5	8.931684348401667e-05	0
GNA13	8.9937133264074e-05	1
PPP2CA	9.032081313331716e-05	0
MDM2	9.07740857317828e-05	0
EGR1	9.288150301158884e-05	0
CD28	9.449033942869262e-05	0
CAMK1	9.67401009803886e-05	0
CLINT1	9.69214298886344e-05	0
RASSF1	9.771628114956072e-05	0
WASL	9.929083458580172e-05	0
CYP4F3	9.973683493417412e-05	0
CDK5	0.000102234249563	0
APPL1	0.0001042201696674	0
CRK	0.0001049291335877	0
PAK2	0.0001068723713634	0
SP1	0.0001094467307872	0
MAP2K1	0.0001108710391343	0
HDAC5	0.0001150936358913	0
GRB2	0.0001153433481247	0
IRS1	0.0001155737181114	0
TSC2	0.0001159545970022	0
COMMD1	0.0001180557864317	0
MAP3K7	0.0001250615740305	0
TERF1	0.0001257999700791	0
NFATC1	0.0001313991775028	0
MAP4K4	0.000131407591282	0
FOXA1	0.0001322300709601	1
PLA2G4A	0.0001338787995387	0
CYP1A1	0.0001356183051926	0
GPX3	0.0001370258106319	0
RADIL	0.0001383115285823	0
HNF1A	0.0001385202057469	0
RB1	0.0001399409476174	1
FN1	0.0001406262755889	0
SERPINB5	0.0001418618440736	-1
MAP2K3	0.0001423252416113	0
CYP2J2	0.0001454890131398	0
SYK	0.0001458795926687	0
YWHAH	0.000146261662914	0
NFATC2	0.0001490840282424	0
COPG1	0.0001511059250942	0
LIMK1	0.000153900803318	0
RPS6KA1	0.000154318617634	0
TGFBR1	0.0001582522382145	0
BAX	0.0001591842708962	0
SNX5	0.0001606966206715	0
XRCC6	0.0001631536733175	0
HSPB11	0.0001662533184407	-1
GRIN2D	0.0001664387167843	0
CYP3A43	0.0001679361085607	0
BTRC	0.0001679372881905	0
CD86	0.0001683135201638	0
